Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2021-02-16	46	37	80.4	6	13.0	2	33.3
2020-06-12	62	27	43.5	0	0.0	0	0
2021-09-05	46	39	84.8	5	10.9	1	20.0
2020-12-17	48	31	64.6	14	29.2	7	50.0
2021-05-16	46	38	82.6	13	28.3	7	53.8
2021-07-04	46	31	67.4	0	0.0	0	0
2021-01-17	46	40	87.0	14	30.4	8	57.1
2020-06-25	55	22	40.0	1	1.8	0	0.0
2020-12-21	48	30	62.5	12	25.0	5	41.7
2020-05-19	62	30	48.4	0	0.0	0	0
2020-09-30	73	37	50.7	1	1.4	1	100.0
2020-11-04	46	32	69.6	10	21.7	7	70.0
2020-10-29	47	37	78.7	3	6.4	2	66.7
2020-09-20	73	38	52.1	0	0.0	0	0
2020-07-15	65	23	35.4	0	0.0	0	0
2020-08-22	66	28	42.4	1	1.5	1	100.0
